Language;Bytes
Jupyter Notebook;13840382
HTML;9163085
PHP;5985173
Python;2368433
JavaScript;1963839
C;1930323
TypeScript;852044
Java;500076
CSS;313082
C++;291871
TeX;279829
Cuda;72651
Yacc;54099
SCSS;48236
Processing;41229
Objective-C;35274
Shell;32951
Ruby;22873
Lex;20914
Makefile;10241
Starlark;8734
C#;6777
Assembly;4796
EJS;4049
Go;3330
Kotlin;2346
Brainfuck;1836
Dockerfile;1642
Batchfile;1502
Swift;1312
Elixir;805
Brightscript;701
R;684
Visual Basic;432
Pascal;430
PowerShell;429
Rust;387
Scala;377
MATLAB;351
Haskell;348
Lua;342
Elm;324
Pike;324
Apex;314
LOLCODE;311
Hack;269
Scheme;257
D;255
Tcl;228
F#;225
Nemerle;221
Fortran;217
Crystal;211
Common Lisp;195
Ada;192
xBase;165
Dart;137
Prolog;134
Haxe;133
Perl 6;130
ABAP;125
OCaml;123
COBOL;123
CoffeeScript;122
Perl;120
Smalltalk;114
Groovy;113
Julia;107
q;107
Forth;105
Nim;84
Erlang;80
Clojure;45
Procfile;43
